YEAR,OVERALL PICK,NBA TEAM,PLAYER NAME,COLLEGE TEAM,CITY,STATE,CONFERENENCE
2018,8,CLE,Collin Sexton,Alabama,Tuscaloosa,AL,Southeastern Conference
2018,9,NYK,Kevin Knox,Kentucky,Lexington,KY,Southeastern Conference
2018,10,PHI,Mikal Bridges,Villanova,Villanova,PA,Big East Conference
2018,11,CHO,Shai Gilgeous-Alexander,Kentucky,Lexington,KY,Southeastern Conference
2018,12,LAC,Miles Bridges,Michigan State,East Lansing,MI,Big Ten Conference
2018,13,LAC,Jerome Robinson,Boston College,Chestnut Hill,MA,Atlantic Coast Conference
2018,14,DEN,Michael Porter Jr.,Missouri,Columbia,MO,Southeastern Conference
2018,15,WAS,Troy Brown Jr.,Oregon,Eugene,OR,Pacific-12 Conference
2018,6,ORL,Mo Bamba,Texas,Austin,TX,Big 12 Conference
2019,1,NOP,Zion Williamson,Duke,Durham,NC,Atlantic Coast Conference
2019,2,MEM,Ja Morant,Murray State,Murray,KY,Missouri Valley Conference
2019,3,NYK,RJ Barrett,Duke,Durham,NC,Atlantic Coast Conference
2019,4,LAL,De'Andre Hunter,Virginia,Charlottesville,VA,Atlantic Coast Conference
2019,5,CLE,Darius Garland,Vanderbilt,Nashville,TN,Southeastern Conference
2019,6,PHO,Jarrett Culver,Texas Tech,Lubbock,TX,Big 12 Conference
2019,7,CHI,Coby White,UNC,Chapel Hill,NC,Atlantic Coast Conference
2019,8,ATL,Jaxson Hayes,Texas,Austin,TX,Big 12 Conference
2019,9,WAS,Rui Hachimura,Gonzaga,Spokane,WA,West Coast Conference
2019,10,ATL,Cam Reddish,Duke,Durham,NC,Atlantic Coast Conference
2019,11,MIN,Cameron Johnson,UNC,Chapel Hill,NC,Atlantic Coast Conference
2019,12,CHO,P.J. Washington,Kentucky,Lexington,KY,Southeastern Conference
2019,13,MIA,Tyler Herro,Kentucky,Lexington,KY,Southeastern Conference
2019,14,BOS,Romeo Langford,Indiana,Bloomington,IN,Big Ten Conference
2019,15,DET,Sekou Doumbouya,Did not Attend College in U.S.,N/A,N/A,N/A
2020,1,MIN,Anthony Edwards,Georgia,Athens,GA,Southeastern Conference
2020,2,GSW,James Wiseman,Memphis,Memphis,TN,American Athletic Conference
2020,3,CHO,LaMelo Ball,Did not Attend College in U.S.,N/A,N/A,N/A
2020,4,CHI,Patrick Williams,Florida State,Tallahassee,FL,Atlantic Coast Conference
2020,5,CLE,Isaac Okoro,Auburn,Auburn,AL,Southeastern Conference
2020,7,DET,Killian Hayes,Did not Attend College in U.S.,N/A,N/A,N/A
2020,8,NYK,Obi Toppin,Dayton,Dayton,OH,Atlantic 10 Conference
2020,9,WAS,Deni Avdija,Did not Attend College in U.S.,N/A,N/A,N/A
2020,10,PHO,Jalen Smith,Maryland,College Park,MD,Big Ten Conference
2020,11,SAS,Devin Vassell,Florida State,Tallahassee,FL,Atlantic Coast Conference
2020,12,SAC,Tyrese Haliburton,Iowa State,Ames,IA,Big 12 Conference
2020,13,NOP,Kira Lewis Jr.,Alabama,Tuscaloosa,AL,Southeastern Conference
2020,14,BOS,Aaron Nesmith,Vanderbilt,Nashville,TN,Southeastern Conference
2020,15,ORL,Cole Anthony,UNC,Chapel Hill,NC,Atlantic Coast Conference
2020,6,ATL,Onyeka Okongwu,USC,Los Angeles,CA,Pacific-12 Conference
